id,user_id,name,merchant,category,current_amount,frequency,status,first_seen,last_seen
1,demo,Netflix,NETFLIX.COM/BILL,ENTERTAINMENT,649.00,MONTHLY,ACTIVE,2024-01-13,2025-12-14
2,demo,Spotify,SPOTIFY PREMIUM,MUSIC,119.00,MONTHLY,ACTIVE,2024-01-06,2025-12-06
3,demo,Amazon Prime,AMAZON PRIME*MEMBER,SHOPPING,1499.00,YEARLY,ACTIVE,2024-01-08,2025-01-12
4,demo,Disney+ Hotstar,HOTSTAR*PREMIUM,ENTERTAINMENT,299.00,MONTHLY,CANCELLED,2024-01-20,2025-09-20
5,demo,YouTube Premium,GOOGLE*YOUTUBE PREM,ENTERTAINMENT,189.00,MONTHLY,ACTIVE,2024-01-01,2025-12-04
6,demo,FitLife Gym,FITLIFE GYM DD,FITNESS,999.00,MONTHLY,ACTIVE,2024-01-02,2025-12-01
7,demo,iCloud,APPLE.COM/BILL,CLOUD,75.00,MONTHLY,ACTIVE,2024-01-26,2025-12-24
8,demo,LinkedIn Premium,LINKEDIN*PREMIUM,PROFESSIONAL,17999.00,YEARLY,ACTIVE,2024-04-14,2025-04-10
9,demo,Zomato Gold,ZOMATO*GOLD,SHOPPING,149.00,MONTHLY,ACTIVE,2025-08-08,2025-12-07
10,demo,Audible,AUDIBLE.IN*MEMBER,MUSIC,149.00,MONTHLY,ACTIVE,2024-01-18,2025-12-19
